GeneENSG	IC0	IC1	IC2
ENSG00000000003	0.056028559115958276	-0.11544001803485202	0.07790019101803924
ENSG00000000005	0.0748580368008507	0.21573792989242058	0.07611907363579525
ENSG00000000419	-0.06826579540695647	-0.07864890167901786	0.020528491186895634
ENSG00000000457	-0.1019121448340693	-0.014130499493661361	0.024399118236870115
ENSG00000000460	-0.05049661631261612	0.015470676404281472	-0.06760057206839881
ENSG00000000938	-0.13622186654338064	0.08421415759761114	-0.025149021791624537
ENSG00000000971	-0.04110472394708927	-0.018882141321233413	-0.2147363770298072
ENSG00000001036	0.0348724540265701	-0.06283153195206903	0.01132423678219048
ENSG00000001084	-0.10064255839322771	-0.028655651296567934	0.034015633472092584
ENSG00000001167	-0.08579414004985458	-0.035774901594478284	-0.0026750114507579845
ENSG00000001460	0.010798267644544703	0.019587728491850642	0.018865361987570706
ENSG00000001461	-0.02782736378090677	-0.06471785121543772	-0.00501239568770552
ENSG00000001497	0.09202854786311371	-0.0648480154053328	0.03918669259749916
ENSG00000001561	-0.08321517366484547	-0.02960699848794698	0.030443981191535123
ENSG00000001617	-0.03505254797144672	-0.06667422263384806	-0.05620944193169828
ENSG00000001626	0.01099939986511651	0.09504077954708176	-0.1298250005096323
ENSG00000001629	-0.11955637050633341	-0.06281307717057907	-0.0569485899203049
ENSG00000001630	0.02740331162638934	-0.09317175138089787	0.039469118859294036
ENSG00000001631	-0.09372950109133099	-0.04173440631580602	-0.014173149306949245
ENSG00000002016	-0.057600998312004006	0.030287593407123725	-0.044520669946247586
ENSG00000002330	0.12090489915912539	-0.05638457291120194	0.04042350617139748
ENSG00000002549	0.013810403934394533	-0.115998677666027	-0.01832666674390146
ENSG00000002586	0.012507600420249676	-0.10337324041021914	-0.014883747207501172
ENSG00000002587	-0.009783203050772842	0.044527548381545844	0.08475437534148302
ENSG00000002726	0.07928352305826636	0.01656679508619689	0.1988363539964473
ENSG00000002745	0.012857847147791507	0.1894986327138615	0.10109630252788529
ENSG00000002746	0.04766239592834026	0.1658311373331362	-0.052886320357290434
ENSG00000002822	0.25475614460024487	-0.00014280658425233194	-0.05737006415655542
ENSG00000002834	-0.038867155707171475	-0.11243735916526498	-0.05410225413631714
ENSG00000002919	-0.014729168723638771	0.013082407227027554	-0.07085512373115785
ENSG00000002933	-0.015406938305822362	0.014797655647083399	-0.03910341271089124
ENSG00000003056	0.08190631994497254	-0.11723506950284357	-0.0326140908390678
ENSG00000003096	0.014423457451234883	0.01647694424747764	0.2995179698007798
ENSG00000003137	-0.07388494150079256	0.23648662041863927	-0.17703931692400826
ENSG00000003147	0.030517001727109246	-0.0165322529825038	-0.013756921267767612
ENSG00000003249	0.023832766955499338	-0.0006631866092809699	0.02845891018054148
ENSG00000003393	-0.05108382513759993	-0.03225741121006793	0.014874873717548073
ENSG00000003400	0.08194850108615885	0.003309722716807319	-0.03425297754300063
ENSG00000003402	0.012169984512469832	-0.12092291055077548	0.003820089383380687
