GeneENSG	IC0	IC1	IC2	IC3
ENSG00000000003	-0.0010977753191657783	-0.11095153828430585	0.009962546632357922	0.07240456604383635
ENSG00000000005	-0.02329349933621982	0.19215039453721244	0.09487446090718712	0.10577893667749147
ENSG00000000419	0.0007866312730775187	-0.06677847982148014	-0.0734127564158842	0.024910667868181764
ENSG00000000457	0.034585261329679914	-0.005352742439396467	-0.10696519886544506	-0.0054037273164206
ENSG00000000460	-0.0685155710535176	0.019132143596173927	-0.050586264396498964	-0.022278963442437717
ENSG00000000938	-0.07855490319695288	0.10226381338818234	-0.10125183895796976	-0.010247613667736572
ENSG00000000971	-0.12402017702294627	-0.010611053034988036	0.030691783814033834	-0.17393455357282017
ENSG00000001036	-0.02366882486001875	-0.06552184999001269	0.042163618262588756	0.02370330787056034
ENSG00000001084	-0.020770093480773452	-0.015578873457881223	-0.08741280621812839	0.027969142694018467
ENSG00000001167	-0.010250885840866942	-0.019634900542978284	-0.10586422046089469	-0.009947157044955596
ENSG00000001460	0.05680184806826164	0.01827569937254822	0.02031365572504869	0.016386333066672674
ENSG00000001461	-0.042204668691098644	-0.05635888246236706	-0.02443598668237113	0.016984898323854334
ENSG00000001497	0.02571339782482795	-0.06725352595996428	0.09058998956109802	0.016533465029060775
ENSG00000001561	-0.021727890990746263	-0.017513808019719253	-0.08535287502616716	0.039847811075810896
ENSG00000001617	0.03756056410728451	-0.058040685700993064	0.0015945517913733107	-0.05914099371579666
ENSG00000001626	0.03661590394898649	0.09751426120434922	0.04486607081237428	-0.09338973973441969
ENSG00000001629	-0.03279396677153399	-0.04376834104764132	-0.08695193461666365	-0.056940469526391355
ENSG00000001630	-0.06339411134762121	-0.10366548273262097	-0.05309990639988822	0.049066990095383546
ENSG00000001631	0.005362502965663688	-0.029391836455232655	-0.07464116771957253	-0.031584940196175824
ENSG00000002016	0.03206692864232571	0.04123563933320305	-0.01530894547161675	-0.05451411975296896
ENSG00000002330	-0.0029629492933199698	-0.07439247886699182	0.11867635095003476	0.019686264716586598
ENSG00000002549	-0.038795406358356946	-0.12789700239702145	-0.09388779400944197	-0.0040227978783776335
ENSG00000002586	-0.08326337811881747	-0.10752746749304443	0.023755847298830228	-0.0002012001641608336
ENSG00000002587	-0.05458007748807325	0.032756164372080995	-0.12202327298198405	0.07622781198131987
ENSG00000002726	-0.0823541893689914	0.0074971072767577585	0.027575033643426453	0.30667816312083873
ENSG00000002745	0.07360837685366255	0.16024792953526534	0.03725726561345651	0.08836308198587328
ENSG00000002746	-0.018914181445854637	0.13733847307647323	0.07911139513719812	-0.016199737013353074
ENSG00000002822	0.024594387783607462	-0.024471985606399713	0.25503678299126953	-0.035275399170706455
ENSG00000002834	-0.07767248305979302	-0.10281015106957211	-0.0518638395743861	-0.03438079644274394
ENSG00000002919	-0.008890949863438637	0.013133517318190503	-0.017548147831311013	-0.06986984652478427
ENSG00000002933	-0.2166780982310772	0.001795000548467218	0.01968592812943793	0.07599978151575985
ENSG00000003056	-0.007444228330190651	-0.11896254439987444	0.10277083413207519	-0.03221214531385001
ENSG00000003096	0.06376359860619252	0.025911057083877698	-0.012801242298575783	0.2575301052416914
ENSG00000003137	-0.04351284990893409	0.22366893687096195	-0.0564411540287357	-0.1683600264360819
ENSG00000003147	0.045537385119782114	-0.015458179434799331	0.015765976381581788	0.023862233920560146
ENSG00000003249	0.11947570622398493	0.002207101326008576	0.051543930580495355	-0.011345101245452557
ENSG00000003393	0.029807267605789726	-0.02299969853164799	-0.05502782665989798	-0.00251204348219865
ENSG00000003400	-0.02193740051869149	-0.0020833049235191763	0.1076785214029306	-0.03863154811400998
ENSG00000003402	0.003774713201829893	-0.11126967197444271	0.011115922841770418	-0.00757203632001645
ENSG00000003436	-0.01349485291839345	-0.02640885591280933	-0.18150679576574444	-0.052441166515530525
ENSG00000003509	-0.011023434688073076	0.003775904681345698	0.003651108333714266	0.007296998130521669
ENSG00000003756	-0.0424206468581147	-0.07201198521379955	-0.028622901135773177	-0.08493619526413232
ENSG00000003987	0.16754651114347235	0.14225015598287877	-0.07525745225543441	-0.0038219989610879124
ENSG00000003989	0.3333043268202151	-0.011598349581928936	-0.0800122683025924	0.06523247514840796
ENSG00000004059	0.006988817627045271	-0.14390552189670802	0.050173941901205346	0.02564731326893369
ENSG00000004139	0.020010127133095718	-0.008352723118859222	-0.13349755039832706	0.0654404158114194
ENSG00000004142	0.012864520175206149	-0.09881579633342563	0.030758605322035844	0.06841022560461615
ENSG00000004399	-0.1078344229111827	-0.06086672813190697	0.1160314599379316	-0.06585487545199177
ENSG00000004455	-0.08032244173869273	-0.14792682381022115	0.009986124451718904	-0.014324683336154395
